version_id,parent_agent_code,agent_group_code,biz_mix,two_wheeler_category,type_of_business,cpan_prct,rto_cluster,rto_code,gross_vehicle_weight_ll,gross_vehicle_weight_ul,cubic_capacity_ll,cubic_capacity_ul,cpan_outgo,body_type,fuel_type,ncb_ll,ncb_ul,vehicle_age_ll,vehicle_age_ul,bus_type,total_gwp_ll,totalgwp_keybrok_agency_ll,totalgwp_pvt_car_ll,totalgwp_pvtcar1plus1_ll,totalgwp_satp_ll,totalgwp_tractor_ll,total_gwp_ul,totalgwp_keybrok_agency_ul,totalgwp_pvt_car_ul,totalgwp_pvtcar1plus1_ul,totalgwp_satp_ul,totalgwp_tractor_ul
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,29.00%,HP1,"HP-04, HP-11, HP-12, HP-13, HP-14, HP-15, HP-16, HP-17, HP-18, HP-19, HP-20, HP-21, HP-22, HP-23, HP-24, HP-25, HP-26, HP-27, HP-28, HP-29, HP-30, HP-31, HP-34, HP-35, HP-36, HP-37, HP-38, HP-39, HP-40, HP-41, HP-42, HP-43, HP-44, HP-45, HP-46, HP-47, HP-48, HP-49, HP-53, HP-54, HP-55, HP-56, HP-57, HP-58, HP-59, HP-60, HP-61, HP-62, HP-64, HP-66, HP-67, HP-68, HP-69, HP-70, HP-71, HP-72, HP-73, HP-74, HP-77, HP-78, HP-79, HP-80, HP-81, HP-83, HP-84, HP-85, HP-87, HP-88, HP-89, HP-90, HP-91, HP-93, HP-94, HP-95, HP-96, HP-97, HP-98",0.0,1000000000.0,1001,1501,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,29.00%,HP2,"HP-01, HP-02, HP-03, HP-05, HP-06, HP-07, HP-08, HP-09, HP-10, HP-32, HP-33, HP-50, HP-51, HP-52, HP-63, HP-65, HP-76, HP-82, HP-86, HP-92",0.0,1000000000.0,1001,1501,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,28.00%,JK1,"JK-02, JK-06, JK-07, JK-08, JK-10, JK-11, JK-12, JK-14, JK-15, JK-16, JK-17, JK-18, JK-19, JK-20, JK-21, JK-22",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,30.00%,JK2,"JK-01, JK-03, JK-04, JK-05, JK-09, JK-13",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,30.00%,JH,"BR-23, JH-01, JH-02, JH-03, JH-04, JH-05, JH-06, JH-07, JH-08, JH-09, JH-10, JH-11, JH-12, JH-13, JH-14, JH-15, JH-16, JH-17, JH-18, JH-19, JH-20, JH-21, JH-22, JH-23, JH-24, BR-17, BR-36",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,3.00%,KA3,"KA-01, KA-02, KA-03, KA-04, KA-05, KA-41, KA-43, KA-50, KA-51, KA-52, KA-53, KA-57, KA-58, KA-59, KA-60, KA-61",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,3.00%,KL1,"KL-10, KL-11, KL-12, KL-13, KL-14, KL-18, KL-53, KL-54, KL-55, KL-56, KL-57, KL-58, KL-59, KL-60, KL-65, KL-71, KL-72, KL-73, KL-78, KL-85",0.0,1000000000.0,1501,100000,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,3.00%,KL2,"KL-02, KL-03, KL-04, KL-05, KL-06, KL-07, KL-08, KL-09, KL-17, KL-23, KL-24, KL-25, KL-26, KL-27, KL-28, KL-29, KL-30, KL-31, KL-32, KL-33, KL-34, KL-35, KL-36, KL-37, KL-38, KL-39, KL-40, KL-41, KL-44, KL-45, KL-46, KL-47, KL-48, KL-50, KL-51, KL-52, KL-61, KL-62, KL-63, KL-64, KL-66, KL-67, KL-81, LD-01, LD-02, LD-03, LD-04, LD-05, LD-06, LD-07, LD-08, LD-09",0.0,1000000000.0,1501,100000,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,3.00%,KL3,"KL-76, KL-77, KL-79, KL-84, KL-86",0.0,1000000000.0,1501,100000,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,3.00%,KL4,"KL-01, KL-15, KL-16, KL-19, KL-20, KL-21, KL-22, KL-42, KL-43, KL-49, KL-68, KL-69, KL-70, KL-74, KL-75, KL-80, KL-82, KL-83",0.0,1000000000.0,1501,100000,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,27.00%,MH1,"MH-01, MH-02, MH-03, MH-04, MH-05, MH-06, MH-43, MH-46, MH-47, MH-48, MH-58",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,23.00%,NE1,"AR-01, AR-02, AR-03, AR-04, AR-05, AR-06, AR-07, AR-08, AR-09, AR-10, AR-11, AR-12, AR-13, AR-14, AR-15, AR-16, AR-17, AR-18, AR-20, AR-22, AR-23, AR-24, AR-25, AR-26",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,5.00%,NE2,"AS-01, AS-02, AS-03, AS-04, AS-05, AS-06, AS-07, AS-08, AS-09, AS-10, AS-11, AS-12, AS-13, AS-14, AS-15, AS-16, AS-17, AS-18, AS-19, AS-20, AS-21, AS-22, AS-23, AS-24, AS-25, AS-26, AS-27, AS-28, AS-29, AS-30, AS-31, AS-32, AS-33, AS-34",0.0,1000000000.0,1501,100000,GWP,ANY,Petrol,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,23.00%,NE3,"MN-01, MN-02, MN-03, MN-04, MN-05, MN-06, MN-07, MN-08, MN-09",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
